frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
87,4.142860,438.0,145.0,1,-14.0256,-573.462,6653.4031,0.008,1,507.48,452.38,490.36,366.26,1,2,detect,detect
88,4.190479,431.0,141.0,1,-42.021,-1345.5745,16225.0042,0.2572,1,503.76,459.26,490.46,364.8,1,2,detect,flow
89,4.238098,425.0,137.0,1,174.6544,4712.2061,127294.6368,179.972,1,497.41,462.25,-1,-1,1,-1,detect,missing
90,4.285717,420.0,136.0,1,91.5378,2250.46,51726.0896,179.8853,1,493.94,463.33,484.09,358.79,1,2,detect,flow
91,4.333337,408.0,136.0,1,108.4595,2250.46,355.3549,91.9337,1,492.37,463.17,494.19,361.21,1,2,detect,detect
92,4.380956,401.0,136.0,1,118.3305,2250.46,207.2903,0.0,1,486.49,458.56,493.59,362.26,1,2,detect,detect
93,4.428575,395.0,139.0,1,-212.3373,-3845.8328,128210.2382,93.1047,1,481.46,450.26,490.74,362.99,1,2,detect,detect
94,4.476194,390.0,145.0,1,-32.192,-573.462,68823.7787,179.9537,1,472.95,437.93,488.2,363.68,1,2,detect,detect
95,4.523813,382.0,153.0,1,-14.9964,-256.7928,6659.8457,0.0428,1,456.23,435.39,486.44,362.97,1,2,detect,detect
96,4.571432,376.0,162.0,1,-8.9654,-151.8844,2206.7117,0.182,1,440.27,437.97,485.5,360.83,1,2,detect,detect
97,4.619051,468.0,228.0,1,2.4986,-22.9828,2717.6177,1.7921,1,428.99,444.38,485.93,358.97,1,2,detect,detect
98,4.666670,500.0,247.0,1,3.3633,-14.7868,173.0699,0.9401,1,421.36,451.72,485.41,358.42,1,2,detect,detect
99,4.714289,521.0,260.0,1,3.7802,-10.6488,87.3381,0.2696,0,414.31,458.09,484.36,358.57,1,2,detect,detect
100,4.761908,534.0,270.0,1,3.9809,-8.02,55.3667,1.3865,0,404.8,464.71,483.78,357.55,1,2,detect,detect
101,4.809527,543.0,279.0,1,4.0859,-5.9726,43.0512,1.4322,0,398.02,472.87,482.26,358.74,1,2,detect,detect
102,4.857146,560.0,292.0,1,4.2855,-3.4375,53.402,1.5688,0,386.17,490.92,482.29,358.55,1,2,detect,flow
103,4.904765,566.0,298.0,1,4.3358,-2.4063,21.6806,1.7136,0,378.6,497.61,484.05,358.74,1,14,detect,detect
104,4.952385,571.0,306.0,1,4.3492,-1.1459,26.47,2.1765,0,372.55,499.75,484.81,357.82,1,14,detect,detect
105,5.000004,575.0,311.0,1,4.3706,-0.4173,15.307,1.0671,0,373.68,500.21,487.89,357.7,1,14,detect,detect
106,5.047623,579.0,317.0,1,4.3827,0.4033,17.2346,0.8372,0,373.86,500.49,491.13,357.62,1,14,detect,detect
107,5.095242,-1,-1,0,-1,-1,-1,-1,0,385.04,499.97,498.77,356.75,1,14,detect,detect
108,5.142861,592.0,321.0,1,4.5419,0.9205,5.6819,16.263,0,394.15,499.69,498.78,356.75,1,14,detect,flow
109,5.190480,596.0,306.0,1,4.7486,-1.1459,43.611,157.1796,0,400.75,496.06,498.77,356.75,1,14,detect,flow
110,5.238099,600.0,300.0,1,4.8818,-2.0795,19.8049,2.4043,0,409.44,488.42,498.75,356.75,1,14,detect,flow
111,5.285718,603.0,294.0,1,5.0081,-3.0849,21.2795,0.9631,0,421.42,483.35,498.74,356.79,1,14,detect,flow
