frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
106,5.047623,578.0,316.0,1,4.3714,0.2713,14.4945,2.507,0,374.0,500.43,487.76,357.23,1,43,detect,flow
107,5.095242,586.0,323.0,1,4.4333,1.1746,19.0126,3.4988,0,385.09,499.88,487.76,357.05,1,43,detect,flow
108,5.142861,592.0,320.0,1,4.5467,0.796,8.2987,159.3998,0,394.16,499.6,487.78,357.05,1,43,detect,flow
109,5.190480,596.0,306.0,1,4.7454,-1.1504,41.0874,10.8506,0,400.55,496.79,487.79,357.0,1,43,detect,flow
110,5.238099,600.0,299.0,1,4.8913,-2.2514,23.3226,1.7167,0,409.34,488.56,487.76,356.98,1,43,detect,flow
111,5.285718,603.0,293.0,1,5.0194,-3.2747,21.6588,0.4101,0,421.32,483.45,489.47,356.78,1,43,detect,flow
112,5.333337,611.0,286.0,1,5.264,-4.5743,27.77,3.5235,0,439.48,482.45,489.55,357.07,1,43,detect,flow
113,5.380956,615.0,282.0,1,5.4038,-5.3741,17.0495,0.7415,0,450.48,481.89,499.21,356.66,1,43,detect,flow
114,5.428575,618.0,282.0,1,5.46,-5.3741,1.1788,80.082,0,460.32,480.64,509.08,356.57,1,43,detect,flow
115,5.476194,622.0,280.0,1,5.5716,-5.791,9.0633,75.0082,0,469.43,479.68,516.81,352.49,1,43,detect,flow
116,5.523814,623.0,280.0,1,5.5906,-5.791,0.3985,75.0082,0,478.17,476.19,-1,-1,1,-1,detect,missing
117,5.571433,627.0,282.0,1,5.6283,-5.3741,8.7907,84.8226,0,489.8,467.08,-1,-1,1,-1,detect,missing
118,5.619052,630.0,280.0,1,5.7234,-5.791,8.9795,161.9782,0,510.49,458.69,-1,-1,1,-1,detect,missing
119,5.666671,633.0,282.0,1,5.7406,-5.3741,8.7622,164.7922,0,522.27,454.94,-1,-1,1,-1,detect,missing
120,5.714290,633.0,282.0,1,5.7406,-5.3741,0.0,87.6366,0,529.42,452.23,-1,-1,1,-1,detect,missing
121,5.761909,633.0,286.0,1,5.6644,-4.5743,16.8707,95.4427,0,540.38,445.9,-1,-1,1,-1,detect,missing
122,5.809528,633.0,289.0,1,5.6099,-4.0025,12.0624,0.0,0,551.44,443.34,-1,-1,1,-1,detect,missing
123,5.857147,635.0,297.0,1,5.5086,-2.5839,29.8674,1.3583,0,567.05,442.63,-1,-1,1,-1,detect,missing
124,5.904766,635.0,303.0,1,5.4147,-1.6107,20.5308,1.4306,0,577.13,442.43,-1,-1,1,-1,detect,missing
125,5.952385,637.0,309.0,1,5.3588,-0.7063,19.0291,1.9814,0,583.1,442.33,-1,-1,1,-1,detect,missing
